title,imgurl,producturl,stars,price,id
"Womens Spontaneous 31-inch Softside Spinner Wheel Luggage, Integrated TSA Accepted Lock, Black Noir, Checked-Large",https://m.media-amazon.com/images/I/61BAX4Gu3xL._AC_UL320_.jpg,https://www.amazon.com/dp/B07V6MZQP4,4.6,282.13,104
"Chatelet Air Hardside Luggage, Spinner Wheels, Chocolate Brown, Checked-Medium 24 Inch",https://m.media-amazon.com/images/I/81YGJqYe2oL._AC_UL320_.jpg,https://www.amazon.com/dp/B08XMYH4L2,4.6,269.99,104
Luggage Set 2PCS Suitcase PC+ABS Carry On Luggage with Spinner Wheel,https://m.media-amazon.com/images/I/61LGokca0OL._AC_UL320_.jpg,https://www.amazon.com/dp/B09NL1XGRT,4.2,139.99,104
"Luggage Suitcases With Spinner Wheels,Upgrade Wide Handle PC Hardshell Rolling Travel Suitcase with TSA Lock, Checked-Medium 24-Inch, Smoke White",https://m.media-amazon.com/images/I/61Y-d+1zhVL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BKKXDVVM,4.4,199.99,104
Alpha Short Trip Expandable 4-Wheeled Packing Case - Roller Bag for Short Trips & Weekend Getaways - Carry-On Luggage with 4 Spinner Wheels - Travel Suitcase for Men & Women - Black,https://m.media-amazon.com/images/I/71Dsvyw7ElL._AC_UL320_.jpg,https://www.amazon.com/dp/B07MK2KDF1,4.4,1195.0,104
"Large Luggage Suitcase with Wheels, Check-in 24 Inch Harside Bag with 70/30 Split, Wet Dry Separation, TSA Lock for Travel, Women, Checked-Medium Hard Shell Trunk (White)",https://m.media-amazon.com/images/I/71uu0xutL4L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C9938WYL,4.8,129.99,104
"Out of Bounds, Rose Gold, 24-Inch Checked",https://m.media-amazon.com/images/I/81fMpNkyrZL._AC_UL320_.jpg,https://www.amazon.com/dp/B07WNKXYYB,4.4,99.99,104
"Titanium Hardside Expandable Luggage with Spinner Wheels, Silver, Checked-Large 29 Inch,207183011",https://m.media-amazon.com/images/I/71KaGdlEP1L._AC_UL320_.jpg,https://www.amazon.com/dp/B00MQF5QR4,4.4,169.99,104
"Road Runner Pro Carry-On Luggage, 20 Lightweight PC Hardside Suitcase with USB Charging Port, Spinner Trolley for Luggage with Front Compartment, TSA Lock (Black)",https://m.media-amazon.com/images/I/61Fio99UvyL._AC_UL320_.jpg,https://www.amazon.com/dp/B092CVP1V8,4.2,209.99,104
"Luggage Aluminium Frame Suitcase TSA Lock 100% PC 20in 24in 28in (Sliver, L(28in))",https://m.media-amazon.com/images/I/61Zv2kuCyfL._AC_UL320_.jpg,https://www.amazon.com/dp/B074WMWL1R,4.3,159.99,104
26 Inch Checked Luggage Collection - Expandable Scratch Resistant (ABS + PC) Hardside Suitcase - Designer Lightweight Bag with 8-Rolling Spinner Wheels (Girls Print),https://m.media-amazon.com/images/I/91grt91OXUL._AC_UL320_.jpg,https://www.amazon.com/dp/B07JQPB359,4.6,169.99,104
"Carry On Luggage Suitcase with Spinner Wheels Hardshell Lightweight Rolling Suitcases PC with Cover & TSA Lock for Business Travel,20inch, Avocado Green",https://m.media-amazon.com/images/I/51Mv23dPdFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BS8MMV15,4.0,155.99,104
Luggage Aluminium Frame Suitcase PC ABS Hard Shell TSA Lock No Zipper 28In Sakura Pink,https://m.media-amazon.com/images/I/612ZjlBrh6L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BY1JGGRP,4.1,149.99,104
"Anzio Softside Expandable Spinner Luggage, Burgundy, Checked-Medium 26-Inch",https://m.media-amazon.com/images/I/81hFTHGiFQL._AC_UL320_.jpg,https://www.amazon.com/dp/B084LNQ2CS,4.1,76.11,104
"7366 Hardside Expandable Luggage with Spinner Wheels, White, Checked-Large 27-Inch",https://m.media-amazon.com/images/I/61mUGe4K+QL._AC_UL320_.jpg,https://www.amazon.com/dp/B07B4TBHTP,4.6,154.99,104
"Unisex-Adult Bold Softside Expandable Rollaboard Upright Luggage, Olive/Black, Checked-Large 28-Inch",https://m.media-amazon.com/images/I/91r695OsR9L._AC_UL320_.jpg,https://www.amazon.com/dp/B07G1RYDDH,4.6,460.0,104
"3PCS Clear PVC Suitcase Cover Protectors Transparent Luggage Cover Waterproof Wheeled Suitcase Dust Cover Dustproof Travel Luggage Sleeve Protector 20""+24""+28""(3PCS)",https://m.media-amazon.com/images/I/71n1FcXl99L._AC_UL320_.jpg,https://www.amazon.com/dp/B0B38Y9PVM,4.0,22.79,104
